City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bulawayo,ZW,59.56,broken clouds,-20.15,28.5833,4 On Housman Backpackers
3,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
4,Port Alfred,ZA,58.17,moderate rain,-33.5906,26.891,The Halyards Hotel
5,Hamilton,US,76.42,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
6,Rikitea,PF,71.29,moderate rain,-23.1203,-134.9692,People ThankYou
9,Butaritari,KI,82.09,few clouds,3.0707,172.7902,Isles Sunset Lodge
11,Bredasdorp,ZA,56.89,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
13,Ailigandi,PA,80.65,few clouds,9.2333,-78.0167,Akwa Reef Lodge
15,Cape Town,ZA,59.41,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
16,Faanui,PF,79.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
19,Busselton,AU,55.8,clear sky,-33.65,115.3333,Observatory Guest House
20,Castro,BR,60.01,clear sky,-24.7911,-50.0119,CHACARA BAILLY
21,Tezu,IN,69.01,overcast clouds,27.9167,96.1667,Circuit House
23,Brasileia,BR,76.53,broken clouds,-11.0161,-68.7481,Pousada Tobias
25,Rapid Valley,US,68.2,overcast clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
27,Mataura,NZ,57.47,few clouds,-46.1927,168.8643,Ellie's Villa
30,Paragominas,BR,73.15,overcast clouds,-2.9667,-47.4833,INOVA
31,Sao Filipe,CV,73.29,clear sky,14.8961,-24.4956,Hotel Xaguate
33,Puerto Ayora,EC,74.3,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Turan,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
42,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
43,Saldanha,ZA,58.19,clear sky,-33.0117,17.9442,Blue Bay Lodge
44,Catia La Mar,VE,77.43,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
47,Vao,NC,75.07,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
49,Port Shepstone,ZA,70.32,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
50,Shihezi,CN,56.89,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
51,Hami,CN,62.91,overcast clouds,42.8,93.45,Laoyutang Resort
52,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Kipini,KE,80.64,broken clouds,-2.5257,40.5262,Delta Sea Mall
55,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
57,Mount Gambier,AU,53.53,clear sky,-37.8333,140.7667,The Commodore
58,Dafeng,CN,71.35,scattered clouds,23.4517,108.5881,Shenglong Hotel
60,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
61,Richards Bay,ZA,68.31,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
63,Santiago,CL,70.99,clear sky,-33.4569,-70.6483,Hotel Panamericano
65,Hermanus,ZA,53.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
66,Gizo,SB,81.7,overcast clouds,-8.103,156.8419,Imagination Island
67,Eyl,SO,81.39,broken clouds,7.9803,49.8164,Amiin Hotel
69,Bambanglipuro,ID,75.85,broken clouds,-7.95,110.2833,Puri Brata
70,Margate,GB,52.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
71,Mar Del Plata,AR,53.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
72,Makokou,GA,70.88,broken clouds,0.5738,12.8642,Hôtel
73,Kaeo,NZ,65.32,scattered clouds,-35.1,173.7833,Bushido Lodge
74,Lagoa,PT,57.27,overcast clouds,39.05,-27.9833,Casa Das Faias
76,Kathu,TH,85.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
77,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
78,Samarai,PG,82.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
79,Chimbote,PE,67.05,broken clouds,-9.0853,-78.5783,Hotel Briliá
80,Bang Racham,TH,85.05,few clouds,14.892,100.3173,อมรรัตน์ สุวิชัย
81,Fortuna,US,60.85,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
83,Gien,FR,53.55,overcast clouds,47.6933,2.6309,Hôtel la Poularde
84,Madingou,CG,74.16,moderate rain,-4.1536,13.55,HOTEL KIM ELISA
85,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
87,Mweka,CD,72.63,broken clouds,-4.85,21.5667,Guest House Boshab
88,Khopoli,IN,84.49,light rain,18.7833,73.3333,The Dukes Retreat
90,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
91,Caravelas,BR,74.5,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
93,Bubaque,GW,76.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
97,Sitka,US,51.69,overcast clouds,57.0531,-135.33,Westmark Sitka
99,Lebu,CL,54.9,broken clouds,-37.6167,-73.65,Hostal Las Lilas
100,Chuy,UY,54.72,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
102,Statesboro,US,78.6,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
103,Diffa,NE,88.5,scattered clouds,13.3154,12.6113,ProDAF/Diffa
104,Pakxan,LA,73.8,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
105,Jamestown,US,52.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
106,Westport,US,66.18,clear sky,41.1415,-73.3579,The Inn at Longshore
111,Mitsamiouli,KM,79.39,light rain,-11.3847,43.2844,Foyer ADM
114,Hobart,AU,57.25,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
116,East London,ZA,63.91,moderate rain,-33.0153,27.9116,Tu Casa
118,Ponta Do Sol,PT,63.23,overcast clouds,32.6667,-17.1,Hotel do Campo
119,Ocho Rios,JM,77.81,broken clouds,18.4025,-77.1048,Hibiscus Lodge
124,Bluff,NZ,57.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
126,Marawi,PH,71.29,broken clouds,7.9986,124.2928,Derogongan Residence
