City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hofn,IS,64.2539,-15.2082,44.78,86,11,0.45,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,6.91,broken clouds
2,Bulawayo,ZW,-20.15,28.5833,59.56,89,78,5.08,broken clouds
3,Padang,ID,-0.9492,100.3543,75.25,85,100,3.83,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,58.17,95,100,1.01,moderate rain
5,Hamilton,US,39.1834,-84.5333,76.42,51,40,6.91,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,71.29,88,100,7.81,moderate rain
7,Albany,US,42.6001,-73.9662,55.81,48,10,8.88,clear sky
8,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,73,20,13.8,few clouds
9,Butaritari,KI,3.0707,172.7902,82.09,74,20,19.39,few clouds
10,Saskylakh,RU,71.9167,114.0833,-1.55,99,99,4.68,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,56.89,61,81,6.76,broken clouds
12,Lapuyan,PH,7.6379,123.1944,79.09,86,52,2.71,broken clouds
13,Ailigandi,PA,9.2333,-78.0167,80.65,75,19,1.54,few clouds
14,Yumen,CN,40.2833,97.2,50.49,15,95,2.39,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,59.41,72,20,20.71,few clouds
16,Faanui,PF,-16.4833,-151.75,79.68,73,88,8.21,light rain
17,Nouadhibou,MR,20.931,-17.0347,64.38,72,0,17.27,clear sky
18,Ushuaia,AR,-54.8,-68.3,44.26,61,40,4.61,scattered clouds
19,Busselton,AU,-33.65,115.3333,55.8,78,0,11.54,clear sky
20,Castro,BR,-24.7911,-50.0119,60.01,93,8,4.41,clear sky
21,Tezu,IN,27.9167,96.1667,69.01,96,100,2.28,overcast clouds
22,Pevek,RU,69.7008,170.3133,11.86,93,87,5.5,overcast clouds
23,Brasileia,BR,-11.0161,-68.7481,76.53,87,83,2.59,broken clouds
24,Talnakh,RU,69.4865,88.3972,4.21,90,100,1.19,overcast clouds
25,Rapid Valley,US,44.0625,-103.1463,68.2,60,100,15.01,overcast clouds
26,Dikson,RU,73.5069,80.5464,-8.25,100,100,6.17,overcast clouds
