City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaires-Sur-Marne,FR,2022-04-22 18:03:58,48.8765,2.6398,65.1,48,0,11.5
1,Punta Arenas,CL,2022-04-22 18:00:49,-53.15,-70.9167,46.11,65,94,11.59
2,Staryy Nadym,RU,2022-04-22 18:03:59,65.6118,72.6842,2.52,97,93,10.6
3,Saldanha,ZA,2022-04-22 18:01:03,-33.0117,17.9442,59.36,71,0,29.48
4,Sola,VU,2022-04-22 18:04:00,-13.8833,167.55,81.55,73,81,4.94
5,Nyurba,RU,2022-04-22 18:04:00,63.2842,118.3319,9.32,98,77,2.1
6,Ushuaia,AR,2022-04-22 17:59:44,-54.8,-68.3,47.82,70,40,0.0
7,Dawson Creek,CA,2022-04-22 18:04:01,55.7666,-120.2362,45.55,58,42,4.47
8,Narsaq,GL,2022-04-22 18:04:01,60.9167,-46.05,48.42,75,98,2.15
9,Salumbar,IN,2022-04-22 18:04:02,24.1333,74.05,88.59,14,5,7.09
10,Albany,US,2022-04-22 18:00:10,42.6001,-73.9662,57.02,50,22,3.0
11,Rikitea,PF,2022-04-22 18:00:48,-23.1203,-134.9692,75.79,76,95,7.94
12,Katsuura,JP,2022-04-22 18:04:03,35.1333,140.3,63.09,87,37,11.9
13,Saskylakh,RU,2022-04-22 18:00:47,71.9167,114.0833,-2.27,100,98,5.28
14,Nouadhibou,MR,2022-04-22 18:04:04,20.931,-17.0347,64.76,79,82,23.15
15,Jizan,SA,2022-04-22 18:04:04,17.3333,42.6667,85.26,64,17,2.75
16,Victoria,HK,2022-04-22 18:00:11,22.2855,114.1577,77.38,91,48,11.01
17,Cape Town,ZA,2022-04-22 18:00:05,-33.9258,18.4232,61.11,68,10,13.0
18,Presidencia Roque Saenz Pena,AR,2022-04-22 18:04:05,-26.7852,-60.4388,86.83,51,38,3.8
19,Bredasdorp,ZA,2022-04-22 18:04:06,-34.5322,20.0403,61.47,50,83,8.59
20,La Rioja,ES,2022-04-22 18:04:06,42.25,-2.5,49.78,91,100,7.76
21,Souillac,MU,2022-04-22 18:04:07,-20.5167,57.5167,75.6,80,71,20.15
